Time,Latitude,Longitude,Heading_Angle,Normal_Acceleration_Command,LOS_Distance,LOS_Distance_Rate,LOS_Angle,LOS_Angle_Rate,LOS_Angle_Acceleration
235,52.2181,-83.0362,311.795,-0.0440244,936064,-2320.95,327.244,-0.00349628,-0.0125704
236,52.2265,-83.0516,311.751,-0.0415641,933740,-2324.52,327.241,-0.00313544,-0.0124913
237,52.2349,-83.0669,311.71,-0.0417426,931419,-2320.69,327.238,-0.00331653,-0.0119159
238,52.2432,-83.0822,311.668,-0.0392758,929095,-2324.27,327.235,-0.00295543,-0.0118356
239,52.2516,-83.0976,311.629,-0.0394822,926774,-2320.46,327.232,-0.00313952,-0.0112627
240,52.2599,-83.1129,311.589,-0.0370215,924450,-2324.05,327.229,-0.00277821,-0.0111887
241,52.2683,-83.1283,311.552,-0.0372577,922130,-2320.26,327.226,-0.00296531,-0.0106194
242,52.2766,-83.1437,311.515,-0.0365768,919810,-2320.17,327.223,-0.00287966,-0.010552
243,52.2849,-83.1591,311.478,-0.0359816,917490,-2320.07,327.22,-0.00279358,-0.010538
244,52.2933,-83.1745,311.442,-0.0332167,915166,-2323.68,327.218,-0.00243006,-0.0102926
245,52.3016,-83.1899,311.409,-0.0330108,912846,-2319.91,327.215,-0.00262224,-0.00943221
246,52.3099,-83.2053,311.376,-0.0322499,910526,-2319.84,327.213,-0.00253889,-0.00930697
247,52.3182,-83.2208,311.344,-0.0316801,908207,-2319.77,327.21,-0.00245548,-0.00929728
248,52.3265,-83.2362,311.312,-0.0307363,905887,-2319.71,327.208,-0.00237222,-0.00906121
249,52.3348,-83.2517,311.282,-0.0296959,903567,-2319.65,327.206,-0.00228925,-0.00876562
250,52.3431,-83.2672,311.252,-0.0286504,901248,-2319.6,327.203,-0.00220688,-0.00846457
251,52.3514,-83.2827,311.223,-0.0276116,898928,-2319.55,327.201,-0.00212516,-0.00816476
